 Persistent EPS in the Last Four Seasons, Net Income to Total Assets, Per Share Net profit before tax (Yuan ¥), Net profit before tax/Paid-in capital, ROA(C) before interest and depreciation before interest, ROA(B) before interest and depreciation after tax, ROA(A) before interest and % after tax, Debt ratio %,Class
19,76,15,15,46,51,48,19,1
19,76,15,15,41,46,48,16,1
15,70,13,13,36,39,39,19,1
19,73,14,14,39,45,45,13,1
19,76,15,15,45,49,49,21,1
19,76,15,15,45,49,49,19,1
18,68,14,14,34,36,37,2,1
21,79,16,16,45,51,52,19,1
16,62,12,12,32,34,31,13,1
17,71,13,13,38,42,41,17,1
20,78,16,16,44,50,52,17,1
12,71,9,9,38,43,42,29,1
10,67,8,8,32,36,36,26,1
20,78,16,16,45,50,51,4,1
17,70,13,13,36,39,40,16,1
19,77,16,16,44,49,51,13,1
21,79,17,16,49,53,54,14,1
16,66,12,13,31,34,35,15,1
12,50,9,8,20,22,20,18,1
14,55,10,10,20,22,16,23,1
19,73,14,14,39,45,45,13,1
17,72,13,13,39,43,44,16,1
20,78,16,15,46,51,52,21,1
20,78,16,16,44,50,53,18,1
19,73,14,14,39,45,45,15,1
17,71,13,13,37,41,41,16,1
16,65,12,12,23,33,33,10,1
18,70,13,13,36,41,40,15,1
21,79,16,16,46,51,53,19,1
21,79,17,16,49,54,54,18,1
21,79,16,16,46,51,52,13,1
16,75,11,11,39,45,45,21,1
18,71,13,13,37,41,41,16,1
16,63,12,12,32,34,31,12,1
10,47,7,8,8,7,7,28,1
21,79,16,16,48,53,53,19,1
13,53,8,7,30,35,26,28,1
21,79,17,16,49,55,53,18,1
19,76,15,15,45,49,49,20,1
19,77,15,15,46,50,50,16,1
20,79,17,16,45,50,53,17,1
21,79,17,17,47,53,54,13,1
17,73,13,13,40,44,44,21,1
17,75,13,13,41,46,46,21,1
17,69,13,13,35,38,39,15,1
17,76,13,13,42,47,48,20,1
19,76,14,15,45,50,49,21,1
22,80,17,17,49,55,56,18,1
18,72,14,14,39,45,43,19,1
18,75,14,14,42,47,46,20,1
15,70,13,13,36,38,40,20,1
19,75,15,15,41,46,46,15,1
20,77,17,17,48,50,49,18,1
20,76,14,15,44,49,49,22,1
14,53,9,9,26,30,22,14,1
20,78,16,15,46,51,52,22,1
22,80,18,18,48,52,54,14,1
20,78,16,15,45,50,51,19,1
17,69,13,13,34,37,38,16,1
12,69,9,9,35,39,40,27,1
16,70,13,13,36,39,39,16,1
19,76,15,15,42,47,48,16,1
23,80,19,19,49,54,56,20,1
10,66,8,8,32,36,37,28,1
21,79,17,16,47,52,53,12,1
16,74,11,11,38,45,45,21,1
9,52,6,6,19,22,19,43,1
16,55,8,8,35,38,24,28,1
21,79,16,16,46,51,52,13,1
18,74,14,14,42,47,46,18,1
18,68,14,14,34,37,38,7,1
11,55,8,8,19,22,17,32,1
20,78,16,16,45,49,52,18,1
16,64,12,12,29,34,32,10,1
17,72,13,13,39,42,43,16,1
19,76,15,15,42,47,47,14,1
13,72,10,10,39,43,44,27,1
19,77,15,15,45,49,50,20,1
15,49,11,11,22,24,18,20,1
19,77,16,16,44,49,51,11,1
21,79,16,16,46,52,53,9,1
13,42,9,10,11,11,10,23,1
19,76,15,15,43,48,49,4,1
20,79,17,17,47,53,54,16,1
20,77,16,16,44,49,51,16,1
15,58,10,10,28,32,29,15,1
21,79,17,17,49,54,54,9,1
13,66,9,9,34,38,37,27,1
18,75,14,14,41,45,46,20,1
20,78,16,16,45,50,52,11,1
20,79,16,16,46,51,53,16,1
12,48,9,8,17,18,17,20,1
18,69,14,14,34,39,38,8,1
19,76,15,15,46,51,49,18,1
16,73,11,11,38,43,44,20,1
16,72,12,12,42,45,44,22,1
20,78,16,16,46,51,52,15,1
19,76,14,14,43,48,49,17,1
13,51,9,10,7,8,8,15,1
20,78,16,16,47,52,52,18,1
20,78,16,16,48,52,51,10,1
21,79,16,16,47,52,53,11,1
12,58,8,8,20,22,18,25,1
17,72,13,13,39,42,43,16,1
19,77,15,15,44,49,50,19,1
18,70,14,14,35,39,38,10,1
19,77,15,15,44,49,51,18,1
22,80,17,17,49,56,55,18,1
22,80,17,17,52,57,56,14,1
20,76,15,15,44,49,50,21,1
18,74,14,14,43,47,46,18,1
22,80,17,17,49,55,56,17,1
21,79,17,17,49,53,54,16,1
15,65,12,12,32,34,33,16,1
20,77,15,15,45,49,50,21,1
17,74,13,13,40,45,45,19,1
15,64,12,12,33,34,32,16,1
18,66,14,14,33,35,34,5,1
19,76,15,15,46,50,49,21,1
11,44,8,9,10,9,8,26,1
17,73,13,13,39,43,43,15,1
18,76,15,15,43,48,49,22,1
21,79,17,17,50,55,55,14,1
18,69,14,14,35,40,38,9,1
17,76,13,13,42,47,48,20,1
16,65,12,13,31,34,33,13,1
21,79,16,16,48,53,53,21,1
17,75,13,13,42,46,47,21,1
18,71,13,13,37,41,41,16,1
16,59,11,11,27,31,29,13,1
19,77,15,15,44,50,51,16,1
21,80,17,17,47,52,54,13,1
20,79,17,16,44,50,54,17,1
15,70,11,12,34,38,38,23,1
17,71,13,13,38,41,41,17,1
14,48,9,8,26,28,18,21,1
17,69,13,13,33,37,37,17,1
20,78,16,16,44,49,51,16,1
19,73,15,15,40,44,44,11,1
21,80,17,17,48,53,54,16,1
17,68,13,13,34,38,38,8,1
17,71,13,13,37,41,41,17,1
17,71,13,13,38,42,41,16,1
19,77,15,15,44,49,51,19,1
18,71,14,14,39,43,42,14,1
18,74,13,13,42,47,45,22,1
20,78,16,16,48,52,51,9,1
23,80,18,18,49,55,57,19,1
15,71,12,12,36,40,39,19,1
16,43,14,14,37,20,13,17,1
20,78,16,16,45,50,52,11,1
20,78,15,15,46,51,52,20,1
21,80,17,17,47,52,54,13,1
20,78,16,16,46,51,53,22,1
19,77,15,15,45,51,51,18,1
15,72,12,12,40,44,44,24,1
22,80,18,18,48,52,55,14,1
16,42,14,14,37,20,12,16,1
19,76,15,15,43,48,49,17,1
20,79,16,16,46,51,53,17,1
17,71,14,14,37,41,42,16,1
18,69,14,14,34,39,38,8,1
22,79,17,17,48,54,54,11,1
16,74,13,13,41,45,45,21,1
21,79,16,16,49,53,53,16,1
18,70,14,14,35,40,38,10,1
18,71,13,13,36,40,40,13,1
20,78,16,16,47,52,52,16,1
22,79,17,17,48,54,55,19,1
19,76,15,15,47,52,50,20,1
20,78,16,16,45,49,51,18,1
12,72,9,9,41,46,43,25,1
16,65,13,13,32,34,34,14,1
20,76,15,15,45,50,51,22,1
16,59,12,12,26,29,28,12,1
13,67,9,9,34,38,37,27,1
18,70,14,14,35,39,38,10,1
19,77,15,15,45,49,50,18,1
19,74,15,15,44,48,46,14,1
16,71,13,13,37,40,42,20,1
19,76,15,15,45,50,50,21,1
17,69,13,13,35,38,40,16,1
19,77,15,15,45,49,50,18,1
18,76,15,15,43,48,49,21,1
19,63,15,15,38,36,31,6,1
18,69,13,13,36,41,37,10,1
20,78,16,16,45,50,52,18,1
14,72,11,11,39,44,44,25,1
17,75,13,13,41,46,47,21,1
11,71,8,8,38,42,42,29,1
20,79,16,16,47,52,53,23,1
16,74,12,12,39,44,45,21,1
19,72,12,14,43,47,43,21,1
21,79,17,17,49,53,54,16,1
19,76,14,14,47,52,49,16,1
1,65,0,0,26,29,30,31,1
16,71,12,12,37,41,43,20,1
18,72,14,14,38,43,43,17,1
18,74,14,14,43,48,46,15,1
19,74,14,14,41,47,46,17,1
20,78,16,16,45,49,52,18,1
16,71,13,13,37,40,39,18,1
21,80,17,17,49,55,55,17,1
16,67,12,13,32,35,37,16,1
16,64,12,12,23,32,32,10,1
15,72,12,12,41,44,44,24,1
15,64,11,11,34,35,33,20,1
18,71,13,13,35,39,39,12,1
19,76,15,15,48,51,48,15,1
17,72,13,13,39,43,43,16,1
20,79,16,16,46,51,53,17,1
14,60,11,11,29,31,29,19,1
20,78,16,16,45,51,52,21,1
16,73,13,13,40,44,45,23,1
21,78,16,16,46,51,52,19,1
21,79,16,16,48,53,53,22,1
13,56,9,9,19,22,16,24,1
18,75,14,14,41,46,46,22,1
19,73,12,13,44,48,44,21,1
19,74,15,15,40,45,45,12,1
17,71,13,13,38,42,43,19,1
17,72,13,13,39,42,41,15,1
16,70,13,13,42,46,47,21,1
20,78,16,16,45,51,52,17,1
21,78,16,16,47,52,53,18,1
17,74,14,13,40,45,46,19,1
20,78,16,15,45,51,51,18,1
19,76,14,14,42,47,49,17,1
18,63,14,14,38,37,31,6,1
19,76,15,15,43,48,49,17,1
17,74,13,13,40,44,45,21,1
20,78,16,16,44,50,52,18,1
19,77,15,15,43,48,50,20,1
16,73,13,13,40,44,45,22,1
19,76,15,15,44,48,49,18,1
20,78,16,16,47,52,52,17,1
19,75,15,15,47,52,48,19,1
18,73,14,15,40,44,45,11,1
19,77,15,15,44,49,50,20,1
20,78,16,15,46,51,52,21,1
14,70,10,11,35,40,40,25,1
21,79,16,16,46,51,52,13,1
21,79,17,16,48,53,54,19,1
20,76,16,16,44,48,50,22,1
11,71,8,9,37,41,41,17,1
13,69,9,10,34,38,38,25,1
15,71,12,12,36,40,39,20,1
20,79,16,16,48,53,52,11,1
21,79,17,16,49,54,54,18,1
17,72,13,13,38,42,43,16,1
21,79,16,16,46,51,53,16,1
18,74,13,14,43,47,45,20,1
18,69,14,14,40,44,42,14,1
19,77,15,15,44,50,51,16,1
21,80,17,17,48,53,54,11,1
21,79,17,16,48,53,54,13,1
11,70,8,8,37,43,41,28,1
21,80,17,17,47,52,54,14,1
20,77,15,15,45,49,50,21,1
10,71,8,8,36,40,40,19,1
17,74,13,13,40,45,45,19,1
13,42,10,10,12,11,10,24,1
19,76,14,14,42,47,49,17,1
20,76,16,16,44,48,50,22,1
11,70,8,8,37,42,41,28,1
21,79,17,16,48,53,54,21,1
16,68,13,13,34,37,39,15,1
21,80,17,17,47,52,54,13,1
16,70,13,13,42,46,47,21,1
13,50,8,7,26,29,18,17,1
21,79,17,16,49,54,54,17,1
20,78,15,15,45,51,52,20,1
16,66,12,13,30,33,34,16,1
20,79,16,16,46,51,53,16,1
20,78,16,15,45,51,51,18,1
21,79,17,16,49,53,54,16,1
20,76,17,17,49,50,48,17,1
18,75,15,14,41,45,46,20,1
22,80,17,17,49,56,55,18,1
20,79,16,16,47,52,53,16,1
16,60,11,11,32,34,29,18,1
14,54,8,8,31,36,26,28,1
20,79,17,16,46,51,54,16,1
21,79,16,16,49,53,53,16,1
16,64,12,13,32,34,32,11,1
19,76,15,15,43,48,49,18,1
18,74,14,15,40,45,46,12,1
19,75,14,14,41,47,46,16,1
19,66,15,15,35,36,35,2,1
19,76,15,15,44,49,49,18,1
16,61,12,12,25,30,30,11,1
18,74,14,14,42,46,46,15,1
18,74,15,14,43,47,46,18,1
20,78,16,15,45,50,51,19,1
22,80,17,17,52,57,56,17,1
18,75,14,14,41,46,46,22,1
20,78,15,15,45,51,52,20,1
18,74,14,14,41,46,46,15,1
19,78,15,15,44,50,51,17,1
15,58,10,10,28,32,29,15,1
18,71,14,14,39,45,42,17,1
12,60,9,10,25,28,29,22,1
20,78,16,16,45,51,52,17,1
18,74,13,13,43,48,44,22,1
16,71,13,13,37,40,42,20,1
12,42,9,9,11,10,9,24,1
20,78,16,16,44,50,52,18,1
20,78,16,16,45,50,51,19,1
16,65,13,13,28,30,28,26,1
16,47,11,11,24,26,19,16,1
13,72,10,10,39,43,44,26,1
17,74,13,13,40,46,46,19,1
20,79,17,16,44,50,54,17,1
21,79,17,16,49,53,54,16,1
20,77,16,16,44,49,51,16,1
20,76,16,16,43,48,49,11,1
19,77,15,15,44,48,50,19,1
20,78,16,15,45,51,52,20,1
21,78,16,16,46,51,52,12,1
18,74,14,14,41,46,46,15,1
16,70,13,13,37,40,40,17,1
18,72,13,13,40,45,43,21,1
21,79,17,17,48,53,54,18,1
16,71,13,13,42,46,47,20,1
17,75,13,13,43,47,46,20,1
19,77,15,15,43,48,50,20,1
18,74,15,15,44,48,46,18,1
21,79,17,16,49,54,54,18,1
19,77,15,15,44,49,51,19,1
21,79,17,17,48,52,53,6,1
16,66,12,13,31,34,34,15,1
15,70,13,13,36,39,40,20,1
21,79,17,16,47,52,53,19,1
19,76,14,14,43,48,49,17,1
19,76,15,15,44,49,50,18,1
19,77,15,15,44,49,50,20,1
14,70,12,12,36,38,39,20,1
19,76,15,15,43,48,49,15,1
20,78,15,15,45,51,52,20,1
21,79,17,16,49,53,54,16,1
19,76,15,15,48,52,49,15,1
19,76,14,14,43,48,49,17,1
16,63,13,13,29,31,28,22,1
19,75,15,15,43,48,48,1,1
17,72,14,14,39,43,43,18,1
20,76,15,15,44,49,48,19,1
21,79,17,17,49,54,55,17,1
15,65,12,12,33,34,33,16,1
19,77,16,16,44,49,51,13,1
20,78,16,16,45,51,52,18,1
19,76,14,14,43,48,49,17,1
21,79,17,16,49,54,54,17,1
20,76,15,15,44,48,50,21,1
22,80,17,17,50,56,56,19,1
17,74,13,13,40,45,46,21,1
10,68,8,8,33,37,37,24,1
20,76,15,15,45,50,48,19,1
22,80,18,18,49,54,56,19,1
18,45,7,8,42,45,12,33,1
9,53,6,7,9,9,7,30,1
19,73,15,15,40,44,44,12,1
16,71,13,13,37,40,39,18,1
19,77,15,15,44,49,51,20,1
15,70,13,13,35,38,39,20,1
19,77,15,15,44,49,51,19,1
17,61,13,13,29,31,30,11,1
20,79,17,16,44,50,54,17,1
20,76,15,15,44,48,50,21,1
20,78,16,16,46,52,52,12,1
20,76,15,15,44,48,50,21,1
21,79,17,16,50,55,55,14,1
18,72,14,14,38,42,43,14,1
20,79,16,16,46,51,52,17,1
19,77,15,15,43,48,50,20,1
19,76,15,15,43,48,49,17,1
20,78,16,16,45,49,52,18,1
17,75,14,13,41,45,46,20,1
18,75,15,14,41,45,46,20,1
20,79,17,17,46,52,54,16,1
20,79,17,16,45,50,53,17,1
20,77,16,16,44,49,50,12,1
21,79,17,17,47,53,54,12,1
21,78,16,16,46,51,53,18,1
17,75,13,13,42,47,47,22,1
12,59,9,10,22,25,24,24,1
20,78,16,16,45,51,52,18,1
18,75,15,14,43,47,47,20,1
17,50,7,8,41,44,16,33,1
21,79,16,16,49,53,53,16,1
18,74,14,14,42,47,46,18,1
19,75,15,15,43,48,48,3,1
20,78,16,15,46,51,52,21,1
19,77,14,14,46,50,49,16,1
21,79,17,16,48,53,54,17,1
19,72,12,14,43,47,43,21,1
20,78,16,16,45,51,52,18,1
19,76,15,15,44,49,50,18,1
16,74,11,11,38,45,45,21,1
20,79,16,16,47,51,53,23,1
22,80,17,17,49,55,55,17,1
19,77,15,15,44,49,51,18,1
17,72,13,13,39,44,43,17,1
20,79,16,16,46,51,53,17,1
21,79,17,16,49,54,53,18,1
20,78,16,15,45,50,51,19,1
20,77,16,16,46,51,51,16,1
23,80,18,18,48,54,56,21,1
17,74,13,14,40,45,45,21,1
18,71,15,15,37,41,43,16,1
21,79,17,16,49,55,53,18,1
20,78,16,16,46,51,52,15,1
17,71,13,13,38,41,41,17,1
20,78,16,16,46,51,52,16,1
21,79,17,16,48,53,54,14,1
18,71,15,15,37,41,43,16,1
21,79,17,16,49,55,53,18,1
22,79,17,17,48,54,54,10,1
13,50,8,7,26,29,18,19,1
19,73,12,13,44,48,44,21,1
18,74,15,14,43,47,46,19,1
21,79,17,17,48,53,53,7,1
17,77,13,15,47,51,51,25,1
20,79,17,17,47,53,54,14,1
19,76,15,15,43,48,49,15,1
12,71,10,10,36,40,39,19,1
19,76,15,15,43,48,50,20,1
21,79,17,17,49,54,53,11,1
17,71,13,13,38,41,41,17,1
12,60,9,10,24,27,29,23,1
17,70,13,13,36,40,40,16,1
20,77,16,16,44,49,51,15,1
16,71,13,13,37,40,39,18,1
19,76,15,15,44,49,49,19,1
21,79,17,16,48,53,54,14,1
20,77,16,16,45,50,52,22,1
20,78,16,16,45,51,52,10,1
22,80,17,17,50,55,56,18,1
17,75,13,13,42,47,46,22,1
19,77,15,15,45,49,50,18,1
15,70,13,13,35,38,39,20,1
18,76,15,15,39,44,47,15,1
15,70,13,13,35,38,39,20,1
17,74,13,13,40,46,46,19,1
21,79,17,16,49,54,55,17,1
19,78,15,15,47,51,52,23,1
18,74,14,15,42,47,46,11,1
19,75,15,15,43,48,47,12,1
17,76,13,13,42,47,48,20,1
18,72,14,14,38,42,43,15,1
21,79,17,17,49,54,54,17,1
20,76,17,17,49,50,48,17,1
22,80,18,18,48,52,54,14,1
19,77,15,15,46,51,51,18,1
21,79,17,16,49,54,54,18,1
22,80,17,17,53,58,56,14,1
18,75,14,15,44,48,48,17,1
20,78,16,16,45,51,52,18,1
20,78,16,15,45,50,51,19,1
19,77,16,16,44,49,51,14,1
19,76,15,15,45,49,49,21,1
19,74,15,15,42,46,46,14,1
15,61,12,12,32,34,30,17,1
16,69,13,13,34,38,39,17,1
18,76,15,15,39,43,48,15,1
17,44,7,8,39,43,14,31,1
20,78,16,16,47,52,52,8,1
20,79,16,16,46,51,52,17,1
10,56,7,7,20,22,21,25,1
21,79,17,16,47,52,53,19,1
16,71,13,13,37,40,41,19,1
21,78,16,16,45,51,52,19,1
21,78,16,16,46,51,52,12,1
15,51,9,9,24,28,19,12,1
17,74,13,13,40,45,45,19,1
18,74,15,15,45,48,46,16,1
21,79,16,16,49,55,53,18,1
24,80,19,19,49,54,56,22,1
16,60,12,12,28,31,29,13,1
12,58,8,9,25,29,28,25,1
19,77,15,15,44,49,51,18,1
15,73,12,12,40,44,45,23,1
19,78,15,15,44,50,51,17,1
21,80,17,17,47,52,54,12,1
20,78,16,16,45,51,52,21,1
20,79,17,17,47,53,54,16,1
20,77,16,16,44,49,50,11,1
15,70,12,12,33,37,38,20,1
22,80,17,17,49,56,55,18,1
20,76,15,15,43,49,48,13,1
16,71,13,13,37,40,42,20,1
19,77,15,15,44,50,51,16,1
21,79,16,16,46,51,53,19,1
18,77,14,14,45,49,50,19,1
22,80,17,17,50,56,56,18,1
17,75,14,15,43,48,47,18,1
21,79,17,17,49,54,54,17,1
17,73,13,13,40,43,44,20,1
18,67,14,14,33,35,36,1,1
20,79,16,16,46,51,53,16,1
22,80,17,17,49,55,56,19,1
15,73,12,12,40,44,45,23,1
19,77,15,15,44,49,50,20,1
18,76,14,14,42,47,49,20,1
17,71,13,13,37,41,41,16,1
19,78,15,15,44,50,52,17,1
10,69,8,8,34,38,38,22,1
21,81,17,17,47,52,56,13,1
16,73,12,12,38,43,44,20,1
19,77,14,14,45,50,50,21,1
21,79,17,17,48,53,54,18,1
19,76,15,15,44,49,49,10,1
19,77,15,15,46,51,51,21,1
16,74,12,12,39,44,45,21,1
16,64,12,12,29,34,32,10,1
21,79,17,17,48,53,54,8,1
16,42,14,14,34,20,12,14,1
16,71,13,13,38,41,40,15,1
21,79,17,16,49,53,54,16,1
21,78,16,16,45,51,52,19,1
15,70,13,13,36,38,39,20,1
16,65,13,13,32,34,34,13,1
20,78,16,16,46,51,52,16,1
21,79,16,16,49,55,53,18,1
19,76,15,15,43,48,49,17,1
20,79,17,17,45,51,54,16,1
18,76,15,15,43,48,49,20,1
20,77,16,16,45,50,51,16,1
17,74,14,15,44,48,46,18,1
19,77,15,15,45,50,50,16,1
20,77,16,16,44,49,51,15,1
21,79,16,16,49,53,53,16,1
18,74,14,15,41,46,46,11,1
19,78,15,15,44,50,51,17,1
21,79,16,16,48,54,53,19,1
20,76,14,15,44,50,49,23,1
19,76,14,15,45,50,49,21,1
22,79,17,17,48,53,54,13,1
20,77,16,16,45,50,52,22,1
21,78,16,16,46,51,52,13,1
16,74,13,13,40,46,46,19,1
20,78,16,15,46,51,51,19,1
19,76,15,15,43,48,49,18,1
17,70,13,13,36,40,40,16,1
21,78,16,16,46,51,52,19,1
15,70,12,12,34,37,37,22,1
22,80,18,18,50,55,56,19,1
20,78,16,16,46,52,52,17,1
19,76,15,15,43,48,50,21,1
17,75,13,13,41,46,47,21,1
16,64,13,13,32,34,33,12,1
13,50,8,7,27,30,18,23,1
17,74,13,14,40,45,45,21,1
17,42,11,11,40,31,11,24,1
17,71,13,13,38,42,41,17,1
14,57,10,10,28,32,29,16,1
19,76,15,15,47,51,49,15,1
19,76,15,15,41,46,47,15,1
21,79,17,16,46,52,53,19,1
20,79,16,16,46,51,52,17,1
23,80,18,18,53,58,57,17,1
14,45,10,10,15,15,11,14,1
19,76,15,15,43,48,49,15,1
19,76,15,15,44,48,49,18,1
18,76,15,15,39,43,47,15,1
14,72,11,11,43,47,44,23,1
19,74,15,15,45,48,46,14,1
18,76,14,14,42,47,48,20,1
20,78,16,15,46,51,52,21,1
18,71,13,13,37,41,41,16,1
17,75,14,14,44,49,47,18,1
16,70,13,13,36,39,39,19,1
20,79,17,16,44,50,54,17,1
21,78,16,16,45,51,52,19,1
21,79,17,16,48,53,54,21,1
18,74,14,14,42,47,46,19,1
22,80,18,18,49,54,56,19,1
18,77,14,14,42,47,49,20,1
15,51,9,9,24,28,18,11,1
17,42,13,13,38,24,12,19,1
13,58,9,9,26,30,29,20,1
21,79,16,16,46,52,53,10,1
19,76,15,15,44,48,49,18,1
20,78,16,16,45,51,52,18,1
20,77,16,16,45,50,51,16,1
20,79,17,17,47,53,54,15,1
18,70,14,14,35,39,38,10,1
16,72,12,12,42,45,44,23,1
20,76,16,16,44,49,50,23,1
12,50,9,8,19,21,19,19,1
19,76,15,15,45,49,49,19,1
19,76,14,15,45,50,49,21,1
19,73,14,14,39,45,45,14,1
20,78,16,16,44,49,52,17,1
18,75,14,14,42,47,46,20,1
20,78,16,16,46,51,51,11,1
21,78,16,16,46,51,52,11,1
19,74,15,15,49,52,46,22,1
16,71,13,13,37,40,40,19,1
20,78,16,16,45,50,52,11,1
20,79,17,17,46,52,54,16,1
17,69,13,13,34,38,39,10,1
12,43,9,9,11,10,9,25,1
15,70,11,12,34,38,38,23,1
21,80,17,17,47,52,55,13,1
19,76,15,15,44,49,50,19,1
14,51,8,7,29,31,20,24,1
19,76,14,14,46,51,48,18,1
20,78,16,15,45,51,51,19,1
17,72,13,13,39,42,42,14,1
18,76,14,14,45,50,49,21,1
20,78,16,16,47,52,52,16,1
17,69,13,13,34,37,38,16,1
21,81,17,17,47,52,56,13,1
16,71,12,12,36,41,42,21,1
18,73,14,14,39,43,43,12,1
21,79,17,16,49,54,54,17,1
21,79,16,16,46,51,52,13,1
17,69,13,13,33,37,37,17,1
21,79,16,16,48,53,53,19,1
18,75,14,14,43,47,46,13,1
21,79,17,16,47,53,54,14,1
21,79,17,16,47,52,53,19,1
16,71,13,13,42,46,47,21,1
20,79,16,16,46,51,52,16,1
15,47,11,10,25,27,19,19,1
20,78,16,16,45,50,51,18,1
23,80,18,18,49,54,56,20,1
16,69,13,13,35,38,39,15,1
19,76,15,15,47,52,49,18,1
19,76,15,15,49,51,48,15,1
19,77,15,15,43,48,50,20,1
21,80,17,17,47,53,55,14,1
20,78,16,16,44,49,52,10,1
20,78,16,16,45,50,51,19,1
21,79,16,16,49,53,53,16,1
21,79,17,17,50,55,55,14,1
19,76,15,15,43,48,49,18,1
17,75,13,13,41,46,46,21,1
22,80,18,18,48,52,55,14,1
18,71,15,15,37,41,43,16,1
17,74,13,13,40,44,45,21,1
17,74,14,14,40,45,46,20,1
15,71,12,12,36,40,41,21,1
15,58,11,11,27,31,29,14,1
19,66,15,15,35,36,34,2,1
14,56,8,8,31,36,28,28,1
14,50,11,11,6,6,4,15,1
18,75,14,14,41,46,46,22,1
15,55,9,9,31,35,26,22,1
15,72,12,12,39,44,44,25,1
19,78,15,15,44,49,52,17,1
17,75,13,13,43,47,46,20,1
19,76,14,14,47,52,49,17,1
19,76,14,14,43,48,49,17,1
19,77,15,15,48,53,49,15,1
20,78,16,15,45,51,52,21,1
17,75,13,13,41,46,47,21,1
18,72,14,14,38,42,42,16,1
21,79,17,17,49,54,55,16,1
14,72,10,11,38,42,42,16,1
19,75,15,15,42,46,46,13,1
16,74,13,13,41,45,45,21,1
19,73,14,14,39,45,45,13,1
19,77,15,15,44,49,51,18,1
16,74,12,12,40,45,46,21,1
21,78,16,16,46,51,52,12,1
23,80,19,19,49,54,56,20,1
17,74,13,13,40,45,45,19,1
18,74,14,14,42,47,46,18,1
16,69,13,13,34,38,39,17,1
18,74,15,15,45,48,46,16,1
16,74,11,11,38,45,45,21,1
16,68,13,13,34,37,39,15,1
10,51,7,7,14,15,14,23,1
21,79,16,16,49,53,53,16,1
21,80,17,17,47,52,54,12,1
19,79,16,16,45,49,53,23,1
20,77,16,16,44,49,51,16,1
11,51,8,7,17,18,17,21,1
19,73,12,14,43,47,44,20,1
16,73,11,11,38,43,44,20,1
21,79,17,16,49,54,54,17,1
19,77,16,16,44,49,51,12,1
16,70,13,13,35,39,39,14,1
19,78,15,15,44,49,52,17,1
18,72,13,13,40,45,43,21,1
19,77,15,15,44,49,51,19,1
15,70,12,12,33,37,37,22,1
17,75,13,13,41,45,46,20,1
21,78,16,16,46,51,52,12,1
20,78,15,15,46,51,52,20,1
19,76,15,15,44,49,50,19,1
1,66,1,1,27,30,31,31,1
19,76,14,14,47,52,49,18,1
19,78,16,15,45,50,52,21,1
17,74,13,13,40,44,45,21,1
11,53,7,7,24,26,19,25,1
21,79,17,17,47,52,54,13,1
11,71,8,8,40,45,42,27,1
20,78,16,15,45,50,51,19,1
18,76,14,14,44,49,49,18,1
20,79,16,16,46,51,53,17,1
19,78,15,15,44,50,52,17,1
18,74,14,14,42,46,46,15,1
20,78,16,16,44,49,52,17,1
14,55,8,8,30,35,27,24,1
16,72,12,12,38,43,44,19,1
21,79,17,17,47,52,53,7,1
20,78,16,16,45,50,51,18,1
16,65,12,12,29,33,34,13,1
19,76,15,15,44,48,49,18,1
20,78,15,15,45,51,52,20,1
18,76,14,15,45,50,51,25,1
17,71,13,13,38,41,41,16,1
20,78,16,16,45,51,52,19,1
21,79,16,16,46,51,52,13,1
18,70,14,14,35,39,38,10,1
22,80,17,17,48,55,56,19,1
17,72,13,13,39,43,44,18,1
17,67,11,11,37,42,35,9,1
16,72,12,12,38,43,44,19,1
18,72,14,14,40,45,43,20,1
16,66,13,13,32,34,35,15,1
16,63,12,12,32,34,31,11,1
18,75,14,15,41,46,46,12,1
15,60,11,11,31,33,29,18,1
20,78,16,16,45,49,51,18,1
17,74,14,14,40,45,46,22,1
15,70,13,13,36,39,39,19,1
11,71,8,8,36,41,41,17,1
20,78,16,16,45,51,52,20,1
21,79,17,16,49,55,53,18,1
12,51,9,8,20,22,19,19,1
20,78,16,16,47,52,52,16,1
21,80,17,17,48,54,54,18,1
5,60,3,3,28,32,29,30,1
16,71,13,13,37,41,41,18,1
18,71,15,15,37,41,43,16,1
18,70,14,14,35,40,38,10,1
16,71,13,13,37,40,40,18,1
18,75,14,14,41,46,47,14,1
17,72,13,13,39,43,44,16,1
21,79,17,16,47,52,53,19,1
21,79,17,17,47,53,54,13,1
15,70,13,13,36,38,39,20,1
20,77,15,15,45,50,51,21,1
20,77,15,15,45,49,50,21,1
18,64,13,13,38,38,32,7,1
17,74,13,13,40,46,46,20,1
16,75,13,13,41,46,47,21,1
15,55,9,9,31,36,26,23,1
16,74,12,12,39,44,45,21,1
13,46,10,10,9,8,7,19,1
17,71,13,13,37,41,41,17,1
21,78,16,16,45,51,52,19,1
11,71,8,8,39,44,42,29,1
18,72,14,14,40,45,43,20,1
18,75,14,14,41,46,47,14,1
16,70,13,13,37,40,40,17,1
20,78,16,15,46,51,51,19,1
19,76,15,15,47,52,50,20,1
21,80,17,17,47,52,54,12,1
15,65,12,12,32,34,34,15,1
19,76,15,15,46,51,48,19,1
16,46,12,12,23,25,20,18,1
20,78,16,16,45,50,52,18,1
16,70,13,13,35,39,39,19,1
21,79,17,17,49,55,55,17,1
20,78,16,16,45,49,51,18,1
18,73,14,14,39,44,44,14,1
